,predicted
495,5.204834570385908
496,5.189410496231349
497,5.314023680329545
498,5.260653238326137
499,5.237810277002682
500,5.223385496238778
501,5.3268398333764955
502,5.341970640218876
503,5.312809429806271
504,5.266178020078312
505,5.170877530664548
506,5.307985116559429
507,5.445934358544639
508,5.234253140266953
509,5.363480427309996
510,5.3948055133824475
511,5.439976807354412
512,5.231172256240203
513,5.556191278999558
514,5.45320835316818
515,5.448053671788655
516,5.265265666285812
517,5.366126353021734
518,5.315747705857694
519,5.375913866260485
520,5.441980675771079
521,5.4504527246935135
522,5.266934707419124
523,5.2129697506885275
524,5.326027643907755
525,5.522121675272183
526,5.460832316972839
527,5.401853502595213
528,5.3990113578540395
529,5.212420777676196
530,5.457219725007501
531,5.3293684724499535
532,5.4713182545859835
533,5.315297586034452
534,5.346974012993157
535,5.433272227936893
536,5.482619489226953
537,5.5843002610112356
538,5.42202668264619
539,5.268350440465897
540,5.240818736913991
541,5.266799367478519
542,5.329944539513791
543,5.586676601408039
544,5.499543582723558
545,5.4155834974582975
546,5.531607594168876
547,5.395692445758638
548,5.34272108077668
549,5.431716484659119
550,5.5987259237534355
551,5.646052361470426
552,5.479684474271939
553,5.5843588745375925
554,5.076740145316286
555,5.161843079135984
556,4.823368463800101
557,5.206076298765886
558,5.185845412476648
559,5.2144479696301165
560,5.0725483991931934
561,5.149179142659153
562,5.089139254679512
563,5.23398826459564
564,5.062459060563891
565,5.22944906105713
566,5.148457336537558
567,5.374771313599801
568,5.371280040380173
569,5.259099056644072
570,5.30989903080442
571,5.3578613604354475
572,5.27272078968
573,5.377120889089754
574,5.318394201182079
575,5.313527263874961
576,5.339467467229512
577,5.238644763205136
578,5.457664142192097
579,5.503983760654191
580,5.496985912128452
581,5.32301167780018
582,5.327905348989941
583,5.407933504845623
584,5.230661573659668
585,5.284497229918813
586,5.509604406726656
